File,Validation,Id,Contact,Group,IGp,Species,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Place,NbCalls,MedFreq,MedInt,Iqual,Isc,Ibuz,Opérateur,Machine,Site,Projet,Habitat1,Habitat2
LIFEB_20150919_225214_800.wav,P. Nyssen,ChiroSp,Main,,,,,2015,9,19,22,52,19/09/2015,22:52,19/09/2015,LIFEB,,,,,,,A. Paquet,SM2-B,Cave du château Tournay-Solvay,Plecobrux,Bâtiments,
LIFEB_20150920_220221_833.wav,P. Nyssen,ChiroSp,Main,,,,,2015,9,20,22,2,20/09/2015,22:02,20/09/2015,LIFEB,,,,,,,A. Paquet,SM2-B,Cave du château Tournay-Solvay,Plecobrux,Bâtiments,
LIFEB_20150921_001016_232.wav,P. Nyssen,ChiroSp,Main,,,,,2015,9,21,0,10,21/09/2015,0:10,20/09/2015,LIFEB,,,,,,,A. Paquet,SM2-B,Cave du château Tournay-Solvay,Plecobrux,Bâtiments,
LIFEB_20150922_234021_378.wav,P. Nyssen,ChiroSp,Main,,,,,2015,9,22,23,40,22/09/2015,23:40,22/09/2015,LIFEB,,,,,,,A. Paquet,SM2-B,Cave du château Tournay-Solvay,Plecobrux,Bâtiments,
LIFEB_20151123_200046_955.wav,P. Nyssen,Myosp,Main,Myosp,6,Myoema,0,2015,11,23,20,0,23/11/2015,20:00,23/11/2015,LIFEB,20,65,0,0,0,0,A. Paquet,SM2-B,Cave du château Tournay-Solvay,Plecobrux,Bâtiments,
LIFEB_20151123_200055_215.wav,P. Nyssen,ChiroSp,Main,,,,,2015,11,23,20,0,23/11/2015,20:00,23/11/2015,LIFEB,,,,,,,A. Paquet,SM2-B,Cave du château Tournay-Solvay,Plecobrux,Bâtiments,
LIFEB_20151123_200059_342.wav,P. Nyssen,Myosp,Main,Myosp,7,Myoema,0,2015,11,23,20,0,23/11/2015,20:00,23/11/2015,LIFEB,40,65,0,0,0,0,A. Paquet,SM2-B,Cave du château Tournay-Solvay,Plecobrux,Bâtiments,
LIFEB_20151123_200104_342.wav,P. Nyssen,ChiroSp,Main,,,,,2015,11,23,20,1,23/11/2015,20:01,23/11/2015,LIFEB,,,,,,,A. Paquet,SM2-B,Cave du château Tournay-Solvay,Plecobrux,Bâtiments,
LIFEB_20151123_200119_496.wav,P. Nyssen,ChiroSp,Main,,,,,2015,11,23,20,1,23/11/2015,20:01,23/11/2015,LIFEB,,,,,,,A. Paquet,SM2-B,Cave du château Tournay-Solvay,Plecobrux,Bâtiments,
LIFEB_20151123_200124_496.wav,P. Nyssen,ChiroSp,Main,,,,,2015,11,23,20,1,23/11/2015,20:01,23/11/2015,LIFEB,,,,,,,A. Paquet,SM2-B,Cave du château Tournay-Solvay,Plecobrux,Bâtiments,
LIFEB_20151123_200129_399.wav,P. Nyssen,ChiroSp,Main,,,,,2015,11,23,20,1,23/11/2015,20:01,23/11/2015,LIFEB,,,,,,,A. Paquet,SM2-B,Cave du château Tournay-Solvay,Plecobrux,Bâtiments,
LIFEB_20151123_200153_195.wav,P. Nyssen,ChiroSp,Main,,,,,2015,11,23,20,1,23/11/2015,20:01,23/11/2015,LIFEB,,,,,,,A. Paquet,SM2-B,Cave du château Tournay-Solvay,Plecobrux,Bâtiments,
LIFEB_20151123_200156_365.wav,P. Nyssen,ChiroSp,Main,,,,,2015,11,23,20,1,23/11/2015,20:01,23/11/2015,LIFEB,,,,,,,A. Paquet,SM2-B,Cave du château Tournay-Solvay,Plecobrux,Bâtiments,
LIFEB_20151123_200201_347.wav,P. Nyssen,ChiroSp,Main,,,,,2015,11,23,20,2,23/11/2015,20:02,23/11/2015,LIFEB,,,,,,,A. Paquet,SM2-B,Cave du château Tournay-Solvay,Plecobrux,Bâtiments,
LIFEB_20151123_200204_000.wav,P. Nyssen,ChiroSp,Main,,,,,2015,11,23,20,2,23/11/2015,20:02,23/11/2015,LIFEB,,,,,,,A. Paquet,SM2-B,Cave du château Tournay-Solvay,Plecobrux,Bâtiments,
LIFEB_20151123_200209_593.wav,P. Nyssen,ChiroSp,Main,,,,,2015,11,23,20,2,23/11/2015,20:02,23/11/2015,LIFEB,,,,,,,A. Paquet,SM2-B,Cave du château Tournay-Solvay,Plecobrux,Bâtiments,
LIFEB_20151123_200213_426.wav,P. Nyssen,Myosp,Main,Myosp,4,Myoema,0,2015,11,23,20,2,23/11/2015,20:02,23/11/2015,LIFEB,2,50,0,0,0,0,A. Paquet,SM2-B,Cave du château Tournay-Solvay,Plecobrux,Bâtiments,
LIFEB_20151123_200219_885.wav,P. Nyssen,Myosp,Main,,,,,2015,11,23,20,2,23/11/2015,20:02,23/11/2015,LIFEB,,,,,,,A. Paquet,SM2-B,Cave du château Tournay-Solvay,Plecobrux,Bâtiments,
LIFEB_20151123_200257_479.wav,P. Nyssen,Myosp,Main,Myosp,6,Myoema,3,2015,11,23,20,2,23/11/2015,20:02,23/11/2015,LIFEB,15,66,0,0,0,0,A. Paquet,SM2-B,Cave du château Tournay-Solvay,Plecobrux,Bâtiments,
LIFEB_20151123_200303_301.wav,P. Nyssen,Myosp,Main,Myosp,7,Myoema,0,2015,11,23,20,3,23/11/2015,20:03,23/11/2015,LIFEB,16,65,0,0,0,0,A. Paquet,SM2-B,Cave du château Tournay-Solvay,Plecobrux,Bâtiments,
LIFEB_20151123_200309_585.wav,P. Nyssen,Myosp,Main,Myosp,6,Myoema,0,2015,11,23,20,3,23/11/2015,20:03,23/11/2015,LIFEB,33,66,0,0,0,0,A. Paquet,SM2-B,Cave du château Tournay-Solvay,Plecobrux,Bâtiments,
LIFEB_20151123_215942_021.wav,P. Nyssen,ChiroSp,Main,,,,,2015,11,23,21,59,23/11/2015,21:59,23/11/2015,LIFEB,,,,,,,A. Paquet,SM2-B,Cave du château Tournay-Solvay,Plecobrux,Bâtiments,
LIFEB_20151123_215947_379.wav,P. Nyssen,ChiroSp,Main,,,,,2015,11,23,21,59,23/11/2015,21:59,23/11/2015,LIFEB,,,,,,,A. Paquet,SM2-B,Cave du château Tournay-Solvay,Plecobrux,Bâtiments,
